Month,happy music: (Worldwide)
2024-02-12,52
2024-03-12,52
2024-04-12,47
2024-05-12,50
2024-06-12,48
2024-07-12,42
2024-08-12,42
2024-09-12,47
2024-10-12,46
2024-11-12,47
2024-12-12,53
2024-01-13,45
2024-02-13,45
2024-03-13,46
2024-04-13,45
2024-05-13,45
2024-06-13,42
2024-07-13,40
2024-08-13,41
2024-09-13,43
2024-10-13,41
2024-11-13,50
2024-12-13,62
2024-01-14,70
2024-02-14,80
2024-03-14,100
2024-04-14,95
2024-05-14,92
2024-06-14,75
2024-07-14,67
2024-08-14,68
2024-09-14,70
2024-10-14,69
2024-11-14,80
2024-12-14,68
2024-01-15,55
2024-02-15,60
2024-03-15,62
2024-04-15,60
2024-05-15,59
2024-06-15,53
2024-07-15,52
2024-08-15,51
2024-09-15,56
2024-10-15,56
2024-11-15,59
2024-12-15,62
2024-01-16,55
2024-02-16,55
2024-03-16,54
2024-04-16,55
2024-05-16,56
2024-06-16,49
2024-07-16,46
2024-08-16,50
2024-09-16,53
2024-10-16,51
2024-11-16,55
2024-12-16,54
2024-01-17,51
2024-02-17,53
2024-03-17,55
2024-04-17,51
2024-05-17,51
2024-06-17,48
2024-07-17,45
2024-08-17,45
2024-09-17,51
2024-10-17,55
2024-11-17,52
2024-12-17,54
2024-01-18,49
2024-02-18,50
2024-03-18,50
2024-04-18,48
2024-05-18,49
2024-06-18,46
2024-07-18,42
2024-08-18,46
2024-09-18,50
2024-10-18,50
2024-11-18,52
2024-12-18,52
2024-01-19,48
2024-02-19,49
2024-03-19,47
2024-04-19,46
2024-05-19,43
2024-06-19,43
2024-07-19,38
2024-08-19,43
2024-09-19,46
2024-10-19,43
2024-11-19,43
2024-12-19,43
2024-01-20,44
2024-02-20,42
2024-03-20,49
2024-04-20,56
2024-05-20,54
2024-06-20,48
2024-07-20,58
2024-08-20,48
2024-09-20,53
2024-10-20,43
2024-11-20,41
2024-12-20,41
2024-01-21,39
2024-02-21,40
2024-03-21,37
2024-04-21,37
2024-05-21,39
2024-06-21,36
2024-07-21,35
2024-08-21,35
2024-09-21,36
2024-10-21,36
2024-11-21,36
2024-12-21,36
2024-01-22,39
2024-02-22,38
2024-03-22,37
2024-04-22,39
2024-05-22,39
2024-06-22,37
2024-07-22,35
2024-08-22,35
2024-09-22,38
2024-10-22,37
2024-11-22,36
2024-12-22,37
2024-01-23,37
2024-02-23,40
2024-03-23,64
2024-04-23,42
2024-05-23,35
2024-06-23,34
2024-07-23,32
2024-08-23,33
2024-09-23,34
2024-10-23,33
2024-11-23,35
2024-12-23,35
2024-01-24,33
2024-02-24,34
